ID,COUNTRY_ID,NAME,ADDRESS,POSTAL_CODE,CITY,PROVINCE,COUNTRY,EMAIL,WEBPAGE,BALLPARK_ID,PRESIDENT,SECRETARY,TREASURER,GOVERNANCE_PERSON,CLUB_LATITUDE,CLUB_LONGITUDE,STADIUM_LATITUDE,STADIUM_LONGITUDE
MON,IT,Montefiascone 67 ASD,VIA G. CONTADINI - LOC.FONTANELLE,1027,Montefiascone,Lazio,Italy,montefiasconebc@libero.it,http://www.montefiasconebaseball.it/Home.html,,Cristiano Tabarrini,Manuela Negro,Roberto Ballarotto,Mauro Coppola,42.5304609479275,12.0347249491122,42.5300288019266,12.0366220235337
NE2,IT,Nettuno 2 Baseball Club ASD,VIA V. VENETO 135,48,Nettuno,Lazio,Italy,BaseballN2Elite@legalmail.it,,,Domenico Della Millia,Laureano Palmisano,Ivano Pietrangeli,Pasqualino Cerchio,41.4621376573135,12.6147083583188,41.4688014986642,12.6803336919701
NET,IT,Nettuno BC 1945 ASD,VIA A. LAURI 1,48,Nettuno,Lazio,Italy,nettunobc1945@pec.it,,,Fabio Bonifazi,Marco Bianchi,Ilaria Coppola,Leonardo Mazzanti,41.4690753041,12.6791790797007,41.4688014986642,12.6803336919701
OLT,IT,Oltretorrente Baseball Club ASD,VIA VOLTURNO 95/A,43125,Parma,Emilia Romagna,Italy,info@oltretorrentebaseball.it,,,Andrea Paini,Paolo Bettati,Stefano Panizzi,Luca Cantadori,44.7971491635405,10.2979941941365,44.7965389754142,10.2979684951242
PAD,IT,Padova BAS SOFT Club ASD,"VIA G. GEREMIA, 2",35133,Padova,Veneto,Italy,padova.baseball@pec.it,https://www.padovabaseball.com/,,Marco Flores D'arcais,Andrea Sambugaro,Stefano Turioni,Piero Andrea Zuin,45.4353599540486,11.8989743481843,45.4353599540486,11.8989743481843
PAR,IT,1949 Parma Baseball Club ASD,VIA CONFALONIERI CASATI 22,43125,Parma,Emilia Romagna,Italy,direzione@parmabaseball.it,http://parmabaseball.it/,,Luca Meli,Gabriele Carpena,Innocente Franchini,Maurizio Renaud,44.7932642212563,10.3003476853808,44.7935695295659,10.2997549361026
PAU,IT,Polisportiva Padule Baseball ASD,VIA RISORGIMENTO 237,50019,Sesto Fiorentino,Toscana,Italy,romanobecchi@gmail.com,https://www.padule-baseball.it/,,Romano Becchi,Lorenzo Pieri,Tommaso Mantelli,Leonardo Becchi,43.8367425711613,11.1766937968008,43.8381587310321,11.1796034145578
POV,IT,Poviglio Baseball ASD,VIA GRUARA 57,42028,Poviglio,Emilia Romagna,Italy,povigliobaseball@virgilio.it,https://www.povigliobaseball.it/,,Andrea Giovanardi,Bruno Rosario Lettieri,Leonardo Rossetti De Amici,Antonino Francesco Arcolà,44.8471511622501,10.5358139634728,44.8471511622501,10.5358139634728
RED,IT,Rangers Redipuglia,Via Atleti d'Italia 1,34070,Fogliano Redipuglia,Friuli Venezia Giulia,Italy,rangersbc@hotmail.com,https://www.rangersredipuglia.it/,,Salvatore Sechi,Cristina Pozzar,Alberto Varin,Andrea Gon,45.852174312157,13.4815324429722,45.8516312259484,13.4817877276534
REG,IT,Reggio Baseball ASD,VIA PETIT BON 1,42122,Reggio Nell'Emilia,Emilia Romagna,Italy,segreteria@reggiobaseball.com,,,Graziella Casali,Fermino Biagini,Vincenza Ardenti,Angel Ramon Vargas Badillo,44.6834572357931,10.645096688808,44.6837484424043,10.6454670629072
RES,IT,Paternò Red Sox Baseball ASD,VIA DON MILANI 39,95047,Paternò,Sicilia,Italy,asdpaternobaseball@tiscali.it,,,Giuseppina Loredana Orfanò,Simona Emanuela Orfanò,Giulia Marici,Deborah Stabile,37.5749045183361,14.9025914444145,37.5299906466702,14.9054348796332
RFA,IT,Torre Pedrera Falcons BC,VIA DANTE ALIGHIERI 45,47921,Rimini,Emilia Romagna,Italy,amministrazione@torrepedrerafalcons.org,https://torrepedrerafalcons.org/,,Carlo Ravegnani,Alessandro Ingardia,Andrea Gregorini,Eros Giovannini,44.0624014835609,12.5727847886467,44.0757711779931,12.5488318182468
RIM,IT,New Rimini Baseball Softball SSD ARL,VIALE PRINCIPE AMEDEO 76,47921,Rimini,Emilia Romagna,Italy,SEGRETERIA@NEWRIMINIBASEBALL.IT,https://www.newriminibaseball.it/,,Alessia Valducci,Giacomo Pelliccioni,Massimiliano Gabrielli,Matteo Zonzini,44.0708370427505,12.5754788332365,44.062342756283,12.5388262812254
RON,IT,New Black Panthers ASD,PIAZZALE ATLETI AZZURRI D'ITALIA 3,34077,Ronchi Dei Legionari,Friuli Venezia Giulia,Italy,posta@ronchibaseball.it,https://www.facebook.com/ronchibaseball/,,Mario Besio,Alessandro Stabile,Mauro Berini,Silvia Devetag,45.8327264554163,13.4934117388435,45.8328062026995,13.4939817647148
ROV,IT,Baseball Softball Club Rovigio ASD,VIA MURE SOCCORSO 13,45100,Rovigo,Veneto,Italy,info@bscrovigo.it,https://www.bscrovigo.com/,,Alessandro Boniolo,Federico Brusaferro,Mabel Martelli,Roberta Turrini,45.0733560754553,11.7909896965918,45.0575232269067,11.7823493541738
RSM,IT,San Marino Baseball Club ASD,VIA COSTA DEL BELLO 2,47899,San Marino,,San Marino,smbc@pec.it,,,Stefano Macina,Marco Zafferani,Lino Ceccoli,Paolo Achilli,43.9700020906422,12.4739284655292,43.9700020906422,12.4739284655292
SAL,IT,Sala Baganza Baseball Club ASD,"VIA DI VITTORIO, 15",43038,Sala Baganza,Emilia Romagna,Italy,segreteria@salabaganzabc.com,https://www.salabaganzabc.com/,,Federico Comelli,Fabbrizio Comelli,Francesca Dotti,Patrizia Drommi,44.7081563457955,10.2307738545702,44.7071354903652,10.2307993943614
SEN,IT,Senago Milano United BC ASD,VIA MARZORATI 7,20030,Senago,Lombardia,Italy,s.basilico@senagobaseball.it,http://www.senagobaseball.com/,,Stefano Basilico,Sante Principio Marzullo,Stefano Realini,Alessandro Bortolomai,45.5749236177136,9.12038297969891,45.5789620470226,9.113964022537
SET,IT,Settimo Baseball Club ASD,VIA TORINO,10036,Settimo Torinese,Piemonte,Italy,bcsettimo.baseball@gmail.com,https://www.bcsettimo.com/,,Patrizia Sciarrilli,Michele Brossa,Domenico Salvatore,Ernesto Wong,45.129324000212,7.75003333031669,45.129324000212,7.75003333031669
TOR,IT,Torino Cubs Grizzlies BSC ASD,CORSO ALLAMANO 59/D,10136,Torino,Piemonte,Italy,cubs@grizzliestorino.it,https://www.grizzliestorino.it/,,Maurizio Gai,Patrizia Agosto,Piero Blunda,,45.0506680348748,7.62410924292704,45.025601949313,7.6518133316002
VER,IT,Verona Baseball Team ASD,VIA MONTORIO 112,37131,Verona,Veneto,Italy,info@baseballteamverona.it,https://www.veronabaseball.com/,,William Manzotti,Massimo Borsi,Marco Mondo,Andrea Marogna,45.4475778304714,11.0349792963871,45.4466146975678,11.0340114292525
AMS,NL,Amsterdam Pirates,Herman Bonpad 5,1067 SN,Amsterdam,,Netherlands,,http://www.amsterdampirates.nl/,,,,,,52.3666214519415,4.79890276831326,52.3666214519415,4.79890276831326
DKI,NL,DSS/Kinheim,Pim Mulierlaan 1,2024 BW,Haarlem,,Netherlands,,http://kinheim.net/,,,,,,52.4082003941188,4.63075899961188,52.4082003941188,4.63075899961188
HCA,NL,HCAW,Zanderijweg,1403 XV,Bussum,,Netherlands,,http://www.hcaw.nl/,,,,,,52.2610805409593,5.16903268930751,52.2612385014795,5.16796235020019
NEP,NL,Curaçao Neptunus,Abraham van Stolkweg 31,3041 JA,Rotterdam,,Netherlands,,http://www.neptunussport.com/,,,,,,51.9236870262169,4.43876143666303,51.9241071880852,4.43912294186433
PIO,NL,Hoofddorp Pioniers,Nieuwe Molenaarslaan 10,2134 AS,Nieuw-Vennep,,Netherlands,,http://www.hoofddorp-pioniers.nl/,,,,,,52.2983285028437,4.62916705499102,52.2984895573727,4.62971544840962
QUI,NL,Quick Amersfoort,Dorresteinsesteeg 2,3817 GC,Amersfoort,,Netherlands,,http://www.bscquick.nl/,,,,,,52.1415218732457,5.40064650357725,52.1415933282969,5.40179621335794
RCH,NL,RCH-Pinguïns,Ringvaartlaan 4,2103 SW,Heemstede,,Netherlands,,http://rch-pinguins.nl/,,,,,,52.3378539269562,4.62766089112846,52.3377252333718,4.62829731972556
STO,NL,Storks,9 Schapenatjesduin Den,2554 BW,Den Haag,,Netherlands,,http://www.storks.nl/,,,,,,52.063379887855,4.22061348068602,52.0625746737506,4.21945310494265
TWI,NL,Twins Oosterhout,Kasteeldreef 32,4907 EA,Oosterhout,,Netherlands,,http://twins-sc.com/,,,,,,51.6557460298087,4.85913235600182,51.6561156304752,4.85941199014448
UVV,NL,UVV,Parkzichtlaan 201,3451 GX,Utrecht,,Netherlands,,http://www.hsvuvv.nl/,,,,,,52.0943778116066,5.03511638190748,52.0943778116066,5.03511638190748
RIV,ES,Rivas Oliva Técnica,Av. los Almendros s/n,28522,Rivas-Vaciamadrid,Madrid,Spain,,https://cbsrivas.org/,,,,,,40.3571408763141,-3.54503636462354,40.3571408763141,-3.54503636462354
OBB,ES,OBB Bizkorrak,Munto Aldea 1,20810,Orio,Gipuzkoa,Spain,,https://www.facebook.com/obb.bizkorrak/,,,,,,43.2788442986479,-2.13101427230194,43.2788442986479,-2.13101427230194
FEN,ES,Fènix Valencia,Calle Llano de Zaidia 3,46009,Valencia,Comunidad Valenciana,Spain,fenix@clubsofbolfenixvalencia.com,https://www.facebook.com/sofbolfenixvalencia/,,,,,,39.4823471593462,-0.378579485393373,39.4823471593462,-0.378579485393373
DRI,ES,Dridma Rivas,Av. los Almendros s/n,28522,Rivas-Vaciamadrid,Madrid,Spain,dridma@dridma.es,https://www.dridma.es/?,,Martha Moya,MªJosé Arias,Lorenzo Valero,Lola Extremera,40.3571408763141,-3.54503636462354,40.3571408763141,-3.54503636462354
CAP,ES,Capitalinos de Gran Canaria,Camino de las Cuartas s/n,35213,Telde,Las Palmas de Gran Canaria,Spain,info@capitalinos.es,http://capitalinos.es/,,Josue Enrique Fernández Pérez,Julio Antonio Fernández Pérez,Osmani González Pedrosa,Javier Leonardo Fernández Pérez,28.0032280145563,-15.4061255005951,28.0026050386903,-15.4056390428196
CAM,ES,CBS Cambre,C/ Río Mero 6 1ºC,15660,Cambre,Galicia,Spain,info@cbscambre.es,https://www.cbscambre.es/?,,,,,,43.3047585275266,-8.35517411916406,43.3142070298486,-8.38048931798829
EUR,NL,Euro Stars,Capelseweg 37,2907 XA,Capelle aan den IJssel,,Netherlands,,https://www.euro-stars.nl/,,Meral Euser,Jerry de Cloe,Aubrey Martina,,51.9406718677422,4.5718588684056,51.9420600280466,4.57233799980706
OGZ,NL,Onze Gezellen,Van der Aartweg,2026 ZL,Haarlem,,Netherlands,secretaris@onzegezellenhonkensoftbal.nl,https://www.onzegezellenhonkensoftbal.nl/,,John Koehorst ,Peter Huiberts,Richard Nierse ,,52.4242068522966,4.64957676441781,52.4242980753301,4.64999727097301
OLY,NL,Olympia Haarlem,Henk van Turnhoutpad 1,2034 JL,Haarlem,,Netherlands,,https://www.olympiahaarlem.nl/hs-home,,,,,,52.3684560429867,4.63819917791095,52.3699864782965,4.63976887346934
ROE,NL,ROEF!,Stokeind 13,5066 XA,Moergestel,,Netherlands,,https://svroef.nl/,,,,,,51.5533078829671,5.17596089325343,51.5527334974669,5.1756112365811
SPA,NL,Sparks Haarlem,Melkerijpad 11,2024 CR,Haarlem,,Netherlands,secretaris@sparkshaarlem.nl,https://sparkshaarlem.nl/,,,,,,52.4101893992028,4.64454833558219,52.4110327576574,4.64481248700261
TTT,NL,Tex Town Tigers,Kotkampweg 119,7531 AS,Enschede,,Netherlands,wedstrijdsecretaris@textowntigers.nl,https://www.textowntigers.nl/,,,,,,52.2338738762853,6.91173547700515,52.2340342092792,6.9114673175991
ELL,GB,East London Latin Boys,"Salisbury Hall playing fields, Walthamstow Avenue",E4 8ST,London,Greater London,United Kingdom,,https://m.facebook.com/people/East-London-baseball-club/100063876377052/,,,,,,51.6063606512769,-0.0221201781332586,51.6063606512769,-0.0221201781332586
HTF,GB,Herts Falcons,"Grovehill Ballpark, Washington Avenue",HP2 6NH,Hemel Hempstead,Hertfordshire,United Kingdom,,https://hertsbaseball.com/,,,,,,51.777457537713,-0.459514017693373,51.777457537713,-0.459514017693373
LBC,GB,London Legends,,,,,United Kingdom,,https://twitter.com/legendsbsb?lang=en,,,,,,,,,
LLC,GB,Lancashire Legends,,,,,United Kingdom,,https://twitter.com/legendsbsb?lang=en,,,,,,,,,
